culture_id,culture_name,region,subregion,period,place,licence,phylogeny,culture_description,constellation_id,english_names,native_names,has_lines,line_star_count,IAU_region,semantics,variants,certainty,constellation_description
Ahtna,Ahtna,Americas,Northern America,2010-2021,"Cantwell, Alaska",CC BY-SA,North America,"The Ahtna sky culture is the result of fieldwork with Northern Dene peoples, investigating how they conceptualize and integrate the sky into systems of knowledge, practices, cosmology, and spirituality. Characteristic is a principal constellation: the incarnated spirit of a Traveler figure who circled the world in Distant Time.",CON Ahtna 001,That Which Moves Over Us; That [Human] Which Moves Over Us; That Which Moves Over the Earth; That Which Moves in a Circle Following Us; The One Who Went Around the Edge of the World; The One Who Went Around the Edge of the Water/Ocean; The One Who Leads Us Ahead; Smart Young Man,Nek'eltaeni; Nek'eltaenen; Nen'keltaeni; Nek'e Nekeghaltaexi; Yabaaghe Tezyaann; Yabaaghe Tuu Teeshyaay; Netseh Tełyaanen; Ciił Hywaa,True,78,,humanoid,,"Most stars are identified, and a pictograph is drawn in the source [cannon2021northerndene]. The line figure here follows the star path of each body part listed, connecting them. His kidney is an unidentified star near the cup of the Big Dipper (not included here). His right hand is 'two unidentified stars in Cassiopeia': the two closest stars are added here. The eyes (bet Tau, iot Aur) and heart (27 Lyn) are unconnected. It is not clear whether the abdomen should be delineated from the head with a neckline (bet Aur, alf Gem); that line is drawn here.","This is a meta-, whole-sky constellation; the individual body parts are explicitly separated in a table as asterisms. In local tradition, Nek’eltaeni was the first being to appear among the stars. Before going to the sky, he was the culture hero and Traveler figure known as Yabaaghe Tezyaann ('the one who went around the edge of the world') (and other similar names in Ahtna dialects), who transformed an archaic animal people into the present-day distinct animal species, and established peace and order on earth. He uses medicine power and is a model of compassion. Nek’eltaeni is a large man-animal or therianthrope figure composed of at least 18 asterisms named using body part terms. He wears a backpack (native: ughaele') and holds a walking stick/weapon/medicine staff (native: utets) in his left hand. The Milky Way is his trail (native: utene). His representation as a therianthrope or shapeshifter recalls ancient time when humans and animals were one."
Ahtna,Ahtna,Americas,Northern America,2010-2021,"Cantwell, Alaska",CC BY-SA,North America,"The Ahtna sky culture is the result of fieldwork with Northern Dene peoples, investigating how they conceptualize and integrate the sky into systems of knowledge, practices, cosmology, and spirituality. Characteristic is a principal constellation: the incarnated spirit of a Traveler figure who circled the world in Distant Time.",CON Ahtna 002,Three Things Side by Side; Stars Side by Side,Taak'i niłk'eze dezdlaeyi; Son' niłk'eze dezdlaeyi,True,3,,group,,Certain.,Orion's belt. The stars were used for timing seasonal hunting activities.
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 001,The Bamboo,Te Kope,True,5,,plant,,"Identified as part of Grus, but (based on the shape) doesn't use the brightest star alf Gru. No star is named. A subset of five stars are drawn in the source, taken here to be the brightest five besides alf Gru.","Bamboo is used to make fishing poles, sailing masts, yards, booms, and outrigger supports."
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 002,Path of Three,Ara Toru,True,3,,landscape,,Certain. Identified as Orion's belt.,
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 003,Bird of Flight,Manu,True,4,,bird,,Only the first 3 stars are identified.,"The dominant constellation for Anutans. It can be seen in all seasons and has practical navigational utility. From one wing tip to the other, it stretches across a quarter of the sky. Birds have symbolic prominence. Canoes are likened to birds, the sky is dominated by the Bird, and also the voyagers are metaphorically depicted as birds in poetry and song. In keeping with the theme of voyaging and navigation, the bird has a masculine identity, is an instigator of activity, with the freedom to move at will."
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 004,The Tongs,Te Angaanga,True,7,,man-made object,,"The source draws a V shape and identifies this as Taurus' forehead, but names only the brightest star, alf Tau (Aldebaran). The minor stars are chosen here to follow the V shape.","Used for moving hot stones, coals, and food in an oven."
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 005,Octopus Tentacle,Kaavei,True,3,,body part,,"Identified as part of Aries (three stars are drawn, but none is named). Aries has four stars in a line, so one other choice is possible but is much smaller in spatial diameter.",
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 006,Forward Precursor,Taki Mua,True,4,,abstract,,"The source marks this as Pegasus's chest and front legs, but only the chest is unambiguous.",
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 007,Adze,Toki,True,6,,man-made object,,The source marks these stars as Delphinus and draws the lines to look like an ax. These lines follow the drawing in the source.,Used for cutting canoes and building houses.
Anuta,Anuta,Oceania,Melanesia,1972–1973 and 1983–1984,"Anuta, Solomon Islands",CC BY-SA,Polynesia,"Anuta is a small island in the SE of Solomon Islands in Melanesia, inhabited by a culturally Polynesian society. As for most Oceanic seafarers, the stars are the most important tool for long-range navigation. The major guiding stars and constellations are known as carriers (native: kaavenga), and have proper names. A star path or sequence of stars (native: kau panonga porau) is followed from one island to the next. This sky culture has 11 constellation line figures. Two other groups of stars are mentioned in the source, but are not identifiable. Culturally significant themes reflected in Anutan constellations include birds, food, fish, and equipment used to procure or prepare these items. Many of these constellations are identified by similar names on other islands. The source draws each constellation with both stars and lines, and marks the Western constellation where this is placed. However, it only identifies the major stars by name, so marking the minor ones was guesswork based on the author's drawing.",CON Anuta 008,The Carrying Stick,Te Aamonga,True,3,,man-made object,,The source identifies the middle star with alf Aql (Altair) but isn't completely sure. The other two stars are smaller and not identified.,"Used to carry taro, coconuts, or other food."
